schema,count_7cups,count_mindline,prop_7cups,prop_mindline,diff,z,p,p_adj,p_reject,topic
ABANDONMENT/INSTABILITY (AB),2,6,0.07692307692307693,0.13953488372093023,-0.0626118067978533,-0.7872121212477667,0.4311577027267359,0.45810505914715693,False,Trigger Warning
DEFECTIVENESS/SHAME (DS),7,14,0.2692307692307692,0.32558139534883723,-0.056350626118068015,-0.4929625494235525,0.6220390494927506,0.6220390494927506,False,Trigger Warning
EMOTIONAL DEPRIVATION (ED),4,1,0.16,0.03225806451612903,0.12774193548387097,1.6665113147078647,0.09561161648392581,0.8778881081262982,False,9 to 5
EMOTIONAL INHIBITION (EI),4,2,0.16,0.06451612903225806,0.09548387096774194,1.1484557186214925,0.25078048323104396,0.8778881081262982,False,9 to 5
FAILURE TO ACHIEVE (FA),11,18,0.44,0.5806451612903226,-0.14064516129032262,-1.0471014938079193,0.2950527704402802,0.8778881081262982,False,9 to 5
ABANDONMENT/INSTABILITY (AB),0,1,0.0,0.03225806451612903,-0.03225806451612903,-0.9061536125301638,0.3648545517544952,0.8778881081262982,False,9 to 5
ENTITLEMENT/GRANDIOSITY (ET),0,1,0.0,0.03225806451612903,-0.03225806451612903,-0.9061536125301638,0.3648545517544952,0.8778881081262982,False,9 to 5
VULNERABILITY TO HARM OR ILLNESS (VH),3,2,0.12,0.06451612903225806,0.05548387096774193,0.7238382478024058,0.46916504491816546,0.8778881081262982,False,9 to 5
DEPENDENCE/INCOMPETENCE (DI),5,4,0.2,0.12903225806451613,0.07096774193548389,0.7188456815314943,0.4722360076151014,0.8778881081262982,False,9 to 5
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),4,3,0.16,0.0967741935483871,0.06322580645161291,0.7112007112010668,0.47695986793609446,0.8778881081262982,False,9 to 5
SOCIAL ISOLATION/ALIENATION (SI),5,8,0.2,0.25806451612903225,-0.05806451612903224,-0.5116226608830866,0.6089151226932794,0.8778881081262982,False,9 to 5
SUBJUGATION (SB),1,2,0.04,0.06451612903225806,-0.024516129032258062,-0.40504026735391313,0.6854479122863246,0.8778881081262982,False,9 to 5
NEGATIVITY/PESSIMISM (NP),10,14,0.4,0.45161290322580644,-0.05161290322580642,-0.3879917968315851,0.6980221042108122,0.8778881081262982,False,9 to 5
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),5,5,0.2,0.16129032258064516,0.038709677419354854,0.3759979708100777,0.7069184045821828,0.8778881081262982,False,9 to 5
MISTRUST/ABUSE (MA),4,6,0.16,0.1935483870967742,-0.033548387096774185,-0.3258649080354004,0.7445265670615868,0.8778881081262982,False,9 to 5
DEFECTIVENESS/SHAME (DS),5,7,0.2,0.22580645161290322,-0.02580645161290321,-0.2339678566956674,0.8150099327740473,0.8778881081262982,False,9 to 5
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),2,2,0.08,0.06451612903225806,0.015483870967741939,0.22366227642537675,0.8230201013684046,0.8778881081262982,False,9 to 5
SELF-SACRIFICE (SS),3,4,0.12,0.12903225806451613,-0.00903225806451613,-0.1016001016001524,0.9190740988024853,0.9190740988024853,False,9 to 5
